mx,my,mz
42.389273,-27.791281,42.797568
58.971022,-26.845537,1.013416
54.448556,-0.521124,-3.579701
44.392588,-45.044981,-16.693071
18.849826,-54.209267,-22.041318
-6.141200,-57.214614,20.096631
-3.845893,-47.588600,38.203247
8.255601,-18.008986,-36.876505
-4.353579,-15.550090,-31.583682
37.838046,-55.522621,-9.692287
1.167835,21.913213,7.849727
-11.331671,0.186811,-23.105021
19.211628,-57.372662,-17.734133
24.874364,22.414212,18.731945
12.391664,-29.182292,-36.267047
-8.595127,-35.748045,43.145564
23.854816,-62.853605,15.940088
-2.600582,-51.199392,35.382093
43.470531,6.002799,-14.809950
1.662532,-5.395273,48.676302
-2.687196,-27.222478,-34.024298
-11.709555,-1.188813,38.643362
12.002575,22.496868,22.440059
-2.275596,-10.073279,47.929118
14.618481,2.394270,-30.398091
57.062767,-16.350843,-6.726508
16.695490,-65.085757,3.162052
25.578515,20.893997,-6.488047
-12.340102,-36.753978,39.286311
33.135431,-49.933537,36.643790
18.103611,14.856253,-18.103450
5.940160,-32.564097,-34.989701
49.062302,10.784652,8.593245
7.575200,-62.692456,-3.973495
-2.706028,-61.092424,-0.422049
23.910837,23.883970,12.868387
21.143633,-21.855324,-36.712986
13.734206,-18.458516,52.945031
-9.178292,19.357271,3.802658
-14.605228,8.369499,27.380515
34.303440,-42.845682,42.591368
-8.996012,-9.157750,45.512874
-24.141747,-41.609280,11.949221
1.542018,-62.520343,9.467586
-17.564781,-5.110558,-20.073721
54.287793,-40.433485,0.006236
40.553811,-57.636768,14.868630
43.984614,-54.815839,12.220523
22.337605,3.886398,-29.546300
-25.469988,-3.214775,18.507761
29.323072,-0.428180,-29.999546
27.785495,-3.474384,-32.015652
52.172082,-9.922354,-16.183993
36.458375,-50.351211,32.982282
44.325432,-41.827856,33.914857
23.799975,-2.951581,48.237418
6.152274,-48.194410,-25.715436
-26.542678,-24.104717,24.834232
30.081061,22.509919,9.279295
36.891014,-23.348221,47.327909
33.876722,-45.596452,-24.415745
39.550511,-31.885263,44.685604
36.659082,-23.268396,-31.029992
-23.073566,-30.891025,29.213750
22.987097,-64.612303,14.171574
33.728330,-61.236208,14.746153
17.441465,-62.804655,21.602690
